,"Jan 16","Feb 16","Mar 16","Apr 16","May 16","Jun 16","Jul 16","Aug 16","Sep 16","Oct 16","Nov 16","Dec 16","Jan 17","Feb 17","Mar 17","Apr 17","May 17","Jun 17","Jul 17","Aug 17","Sep 17","Oct 17","Nov 17","Dec 17","Jan 18","Feb 18","Mar 18","Apr 18","May 18","Jun 18","Jul 18","Aug 18","Sep 18","Oct 18","Nov 18","Dec 18","Jan 19","Feb 19","Mar 19","Apr 19","May 19","Jun 19","Jul 19","Aug 19","Sep 19","Oct 19","Nov 19","Dec 19","Jan 20","Feb 20","Mar 20","Apr 20","May 20","TOTAL"
"Ordinary Income/Expense","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Income","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4000 · MOVING REVENUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4010 · Moves (Use of Trucks)",122718.90,101899.40,156592.73,180209.13,282069.65,381478.86,335634.26,327629.86,245463.96,217054.27,196535.30,195896.29,128529.15,144344.49,195820.07,200950.58,276227.83,394842.24,329768.94,280434.24,203278.73,185942.61,157080.59,205692.25,145369.31,129891.51,198443.23,238695.79,291580.16,378517.89,358025.07,353872.86,210264.53,229041.33,166879.76,124842.46,124149.50,191079.09,220285.90,240346.63,320418.43,466777.83,386548.86,383927.02,215335.05,240729.49,193329.68,221824.99,141932.58,165365.11,234554.70,177441.37,212555.22,12408119.68
"4020 · Packing/Unpacking",5092.02,3671.55,4667.50,4190.00,5569.87,17640.61,13426.52,11345.58,5679.81,11898.32,4519.20,4622.32,2341.25,3089.07,12091.88,4057.50,13465.18,16475.44,10611.83,11379.79,8020.98,5801.52,4472.30,7475.92,5327.50,6123.87,7193.65,14079.40,11617.54,13085.62,5770.45,17887.95,5134.69,26498.92,58823.09,74928.04,22744.70,13842.54,17705.24,17574.11,11471.10,51811.22,25540.12,48689.05,26753.73,20103.43,29230.13,17382.44,6294.89,13449.56,19194.15,11160.68,14878.85,805902.62
"4030 · Unloading",0.00,736.25,832.50,360.00,2016.25,1846.25,1561.25,2000.00,352.50,390.00,642.50,770.00,455.00,0.00,297.50,0.00,632.50,1953.75,1715.00,921.25,1295.00,1242.50,737.50,168.75,531.25,861.25,995.00,565.00,1437.50,2170.00,875.00,1082.50,1880.00,530.00,1228.75,327.50,692.50,1482.50,250.00,1267.50,130.00,467.50,3351.25,3163.75,2192.50,1010.00,1287.50,740.00,586.25,2296.25,1121.25,125.00,795.00,54368.75
"4040 · Loading",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,337.50,247.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,-494.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.00,690.84
"4050 · Internal Moves",367.50,657.00,630.00,1182.50,1816.25,1065.00,1642.50,1940.00,1187.50,660.00,470.00,547.50,2037.50,842.50,260.00,220.00,1392.50,1282.50,957.50,1565.00,1232.00,770.00,1225.00,510.00,1765.00,905.00,710.00,1920.00,6432.91,2817.50,4728.75,2415.00,2233.75,2726.25,2375.00,1501.25,6093.75,1722.50,1522.50,2255.00,2592.50,3042.50,4721.25,2860.00,2616.25,6028.75,2471.25,1936.25,906.25,530.00,2682.50,457.50,1770.00,99199.41
"Total 4000 · MOVING REVENUE",128178.42,106964.20,162722.73,185941.63,291472.02,402030.72,352264.53,342915.44,252683.77,230002.59,202167.00,201836.11,133362.90,148276.06,208469.45,205228.08,292055.51,414801.43,343053.27,294300.28,213826.71,193756.63,163515.39,213846.92,152993.06,137781.63,207341.88,255510.19,311068.11,396591.01,368905.11,375258.31,219512.97,258796.50,229306.60,201599.25,153680.45,208126.63,239763.64,261443.24,334612.03,522099.05,420161.48,438639.82,246897.53,267871.67,226318.56,241883.68,149719.97,181640.92,257552.60,189184.55,230349.07,13368281.30
"4200 · MOVING SUPPLIES REVENUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4210 · Boxes, Supplies & Merchandise",5239.75,5051.00,6556.75,6678.50,10703.25,15469.75,9043.25,8426.50,8390.25,7723.75,5757.25,6501.25,4535.25,7912.00,10137.00,7194.50,9917.75,15256.25,8798.75,8084.75,6098.00,4940.25,4171.75,8332.25,6385.00,2526.25,7898.25,11688.75,10010.75,15425.00,7950.75,12387.50,7021.75,16026.50,8136.00,8046.00,7652.75,9023.50,12316.00,16487.25,8958.50,19119.75,13691.75,14682.25,14745.25,15685.25,11615.25,13009.50,8588.25,5374.00,8002.25,6222.25,8362.00,497958.00
"4220 · Box, Tote & Equipment Rental",3.68,45.08,41.39,58.68,111.20,120.20,47.17,40.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,16.50,50.00,20.00,140.00,120.00,88.50,147.50,143.75,340.00,181.75,338.49,295.12,150.00,215.00,352.16,58.00,198.25,162.50,40.00,45.00,62.79,251.50,10.00,65.00,22.00,0.00,217.50,15.00,0.00,60.00,8.50,15.00,15.00,52.50,255.00,0.00,4680.50
"4230 · Online Box Sale Commission",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
"Total 4200 · MOVING SUPPLIES REVENUE",5243.43,5096.08,6598.14,6737.18,10814.45,15589.95,9090.42,8467.29,8390.25,7723.75,5757.25,6501.25,4535.25,7912.00,10137.00,7254.50,9917.75,15272.75,8848.75,8104.75,6238.00,5060.25,4260.25,8479.76,6528.75,2866.25,8080.00,12027.24,10305.87,15575.00,8165.75,12739.66,7079.75,16224.75,8298.50,8086.00,7697.75,9086.29,12567.50,16497.25,9023.50,19141.75,13691.75,14899.75,14760.25,15685.25,11675.25,13018.00,8603.25,5389.00,8054.75,6477.25,8362.00,502638.51
"4500 · ANCILLARY REVENUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4510 · Cancellation Fee Income",100.00,0.00,400.00,400.00,-100.00,600.00,-100.00,100.00,700.00,100.00,-200.00,300.00,0.00,0.00,0.00,200.00,100.00,200.00,100.00,0.00,300.00,0.00,0.00,0.00,100.00,300.00,100.00,100.00,0.00,425.00,600.00,814.00,200.00,300.00,300.00,400.00,200.00,100.00,0.00,200.00,200.00,300.00,200.00,300.00,300.00,0.00,400.00,150.00,0.00,300.00,200.00,200.00,100.00,9989.00
"4535 · Commission Income (Internal)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
